id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
750278,32,management,married,tertiary,no,810,no,no,cellular,13,aug,1013,2,-1,0,unknown,1
750284,52,services,married,unknown,no,17,no,no,cellular,4,aug,86,1,-1,0,unknown,0
750288,37,blue-collar,married,secondary,no,2115,yes,yes,unknown,21,may,111,1,-1,0,unknown,0
750292,44,management,married,primary,no,464,no,no,unknown,30,may,123,2,-1,0,unknown,0
750297,45,management,married,tertiary,no,2240,no,no,cellular,14,aug,1241,2,-1,0,unknown,1
750306,54,technician,married,secondary,no,1477,yes,no,cellular,31,jul,81,3,-1,0,unknown,0
750311,41,admin.,married,secondary,no,-11,yes,yes,unknown,27,may,103,1,-1,0,unknown,0
750319,41,blue-collar,married,primary,no,-274,yes,no,unknown,27,may,39,4,-1,0,unknown,0
750324,42,self-employed,married,secondary,no,602,yes,no,unknown,30,may,65,5,-1,0,unknown,0
750326,54,blue-collar,married,primary,no,779,yes,no,telephone,11,may,123,1,172,3,failure,0
750331,56,retired,married,primary,no,9367,no,no,cellular,11,feb,981,2,90,6,success,1
750332,35,admin.,divorced,secondary,no,-312,yes,no,unknown,2,jun,75,1,-1,0,unknown,0
750334,32,services,married,secondary,no,-1,yes,yes,unknown,27,may,109,2,-1,0,unknown,0
750336,42,blue-collar,married,secondary,no,0,yes,no,unknown,7,may,128,6,-1,0,unknown,0
750352,46,blue-collar,married,primary,no,714,yes,no,cellular,17,apr,77,1,-1,0,unknown,0
750362,33,blue-collar,married,secondary,no,7,yes,no,unknown,6,may,200,1,-1,0,unknown,0
750366,30,management,single,tertiary,no,27,no,no,cellular,25,aug,80,6,-1,0,unknown,0
750386,46,management,married,tertiary,no,7968,no,no,cellular,30,apr,301,1,80,1,success,1
750388,39,admin.,single,secondary,no,2098,yes,no,unknown,30,may,72,3,-1,0,unknown,0
750389,35,technician,married,secondary,no,5,no,no,cellular,28,aug,65,7,-1,0,unknown,0
750395,34,blue-collar,married,secondary,no,-100,yes,no,unknown,19,may,122,6,-1,0,unknown,0
750399,54,admin.,divorced,secondary,no,1659,yes,no,unknown,20,jun,76,5,-1,0,unknown,0
750402,59,retired,married,secondary,no,594,yes,no,unknown,14,may,95,2,-1,0,unknown,0
750415,34,technician,married,secondary,no,1174,no,no,cellular,22,mar,265,1,-1,0,unknown,1
750424,42,blue-collar,married,secondary,no,-376,yes,no,cellular,11,may,114,3,347,1,failure,0
750425,32,management,married,tertiary,no,16,no,no,cellular,28,aug,64,5,-1,0,unknown,0
750428,44,unemployed,married,secondary,no,9,yes,yes,unknown,18,may,106,11,-1,0,unknown,0
750433,34,technician,married,secondary,no,514,yes,no,cellular,18,aug,82,7,-1,0,unknown,0
750436,30,services,single,secondary,no,1222,yes,no,unknown,20,may,1882,1,-1,0,unknown,1
750437,40,technician,married,secondary,no,0,yes,no,unknown,28,may,91,5,-1,0,unknown,0
750448,30,management,married,tertiary,no,731,no,no,cellular,4,may,615,2,90,1,success,1
750452,43,blue-collar,married,primary,no,-312,yes,yes,cellular,18,may,97,3,350,1,failure,0
750465,37,blue-collar,married,tertiary,no,1568,yes,no,cellular,4,may,226,2,90,3,success,1
750467,57,blue-collar,married,primary,no,-257,no,yes,unknown,30,jun,64,2,-1,0,unknown,0
750474,46,self-employed,married,tertiary,no,0,no,no,cellular,28,aug,82,9,-1,0,unknown,0
750475,77,retired,married,unknown,no,519,no,no,cellular,9,mar,270,1,-1,0,unknown,1
750485,43,services,married,secondary,no,-10,yes,no,unknown,9,may,178,1,-1,0,unknown,0
750486,35,technician,single,secondary,no,0,no,no,cellular,28,aug,81,7,-1,0,unknown,0
750488,51,entrepreneur,married,tertiary,no,563,yes,no,telephone,18,nov,68,3,-1,0,unknown,0
750490,44,blue-collar,married,secondary,no,-921,yes,yes,unknown,27,may,49,1,-1,0,unknown,0
750493,57,retired,married,primary,no,553,no,no,unknown,11,jun,85,1,-1,0,unknown,0
750496,55,technician,married,secondary,no,52,no,no,cellular,19,aug,83,4,-1,0,unknown,0
750505,47,technician,divorced,secondary,no,-1,yes,no,unknown,2,jun,71,4,-1,0,unknown,0
750513,36,management,married,tertiary,no,17,no,no,unknown,16,may,73,3,-1,0,unknown,0
750518,50,blue-collar,married,secondary,no,431,no,no,cellular,18,aug,75,7,-1,0,unknown,0
750537,52,management,married,tertiary,no,0,no,no,cellular,29,aug,121,2,-1,0,unknown,0
750549,55,self-employed,married,secondary,no,0,no,no,cellular,28,aug,64,2,-1,0,unknown,0
750556,53,services,married,secondary,no,-872,yes,no,cellular,15,jul,80,3,-1,0,unknown,0
750557,33,technician,married,secondary,no,0,no,no,cellular,19,aug,77,3,-1,0,unknown,0
750559,46,management,married,tertiary,no,644,no,yes,cellular,29,jul,124,2,-1,0,unknown,0
750568,51,blue-collar,married,secondary,yes,-1,no,no,unknown,17,jun,78,1,-1,0,unknown,0
750571,36,management,married,tertiary,no,0,yes,no,cellular,29,jul,77,12,-1,0,unknown,0
750573,45,services,married,secondary,no,-10,yes,no,unknown,3,jun,118,3,-1,0,unknown,0
750586,50,technician,married,secondary,no,-1176,yes,yes,cellular,29,jul,80,3,-1,0,unknown,0
750598,45,technician,single,tertiary,no,-158,no,no,cellular,28,aug,95,3,-1,0,unknown,0
750607,38,technician,married,secondary,no,2354,no,no,unknown,20,jun,74,3,-1,0,unknown,0
750610,59,housemaid,married,primary,no,1467,no,yes,unknown,16,jun,126,12,-1,0,unknown,0
750613,37,blue-collar,married,primary,no,2171,yes,no,unknown,8,may,97,1,-1,0,unknown,0
750620,38,technician,married,secondary,no,36,yes,no,unknown,30,may,109,3,-1,0,unknown,0
750634,56,services,married,secondary,no,624,yes,yes,cellular,24,jul,72,1,-1,0,unknown,0
750636,35,management,married,tertiary,yes,-971,yes,yes,unknown,27,may,85,2,-1,0,unknown,0
750642,35,management,single,tertiary,no,-218,yes,no,unknown,5,may,87,1,-1,0,unknown,0
750645,52,services,married,secondary,no,739,no,no,unknown,20,jun,95,3,-1,0,unknown,0
750647,44,technician,married,secondary,no,0,yes,no,unknown,6,may,76,3,-1,0,unknown,0
750650,36,management,married,tertiary,no,643,no,no,cellular,21,oct,531,1,182,2,success,1
750651,54,blue-collar,married,primary,no,458,yes,yes,cellular,5,may,114,1,-1,0,unknown,0
750656,33,technician,divorced,secondary,no,-1,yes,no,unknown,9,may,102,2,-1,0,unknown,0
750678,52,blue-collar,married,primary,no,751,yes,yes,cellular,7,may,84,5,-1,0,unknown,0
750680,43,blue-collar,married,secondary,no,596,yes,no,cellular,14,may,1581,1,-1,0,unknown,1
750686,37,services,married,secondary,no,523,yes,no,cellular,30,apr,749,1,-1,0,unknown,1
750691,45,management,divorced,tertiary,no,17,yes,no,unknown,15,may,61,2,-1,0,unknown,0
750692,32,management,single,tertiary,no,9,yes,no,cellular,28,jul,64,3,-1,0,unknown,0
750697,29,management,single,tertiary,no,15161,no,no,cellular,28,sep,195,2,184,1,success,1
750698,31,technician,married,tertiary,no,481,yes,no,unknown,23,may,123,2,-1,0,unknown,0
750699,40,blue-collar,married,primary,no,473,yes,yes,unknown,23,may,135,6,-1,0,unknown,0
750702,28,technician,single,tertiary,no,814,yes,no,cellular,27,may,781,1,-1,0,unknown,1
750704,49,management,married,tertiary,no,558,no,no,cellular,6,aug,1226,4,-1,0,unknown,1
750708,51,services,married,secondary,no,2732,yes,no,unknown,3,jun,85,12,-1,0,unknown,0
750720,33,services,married,secondary,no,-1,no,no,unknown,9,may,132,3,-1,0,unknown,0
750729,40,technician,married,secondary,no,0,yes,no,cellular,31,jul,102,7,-1,0,unknown,0
750743,48,blue-collar,married,primary,no,788,yes,no,unknown,4,jun,113,3,-1,0,unknown,0
750744,58,management,married,tertiary,no,1633,no,no,cellular,9,aug,473,3,95,3,success,1
750748,51,management,married,tertiary,no,0,yes,no,cellular,24,jul,86,2,-1,0,unknown,0
750751,55,blue-collar,married,primary,no,1046,yes,no,unknown,4,jun,61,10,-1,0,unknown,0
750758,47,admin.,married,tertiary,no,1785,no,no,cellular,11,aug,253,1,433,1,success,1
750760,33,blue-collar,married,primary,no,908,yes,no,cellular,12,may,80,5,-1,0,unknown,0
750764,31,management,single,tertiary,no,12,yes,no,cellular,15,may,78,1,368,2,failure,0
750766,35,technician,single,secondary,no,-129,yes,no,cellular,8,may,122,1,368,2,failure,0
750768,32,management,single,tertiary,no,0,yes,no,unknown,29,may,122,3,-1,0,unknown,0
750775,38,admin.,married,secondary,no,-35,no,no,cellular,31,jul,70,3,-1,0,unknown,0
750781,37,admin.,married,secondary,no,1377,no,no,cellular,3,jun,1148,2,-1,0,unknown,1
750784,33,admin.,married,secondary,no,-306,yes,yes,unknown,2,jun,129,1,-1,0,unknown,0
750789,56,management,married,primary,no,699,yes,no,unknown,29,may,145,1,-1,0,unknown,0
750790,47,blue-collar,married,primary,no,568,yes,no,unknown,28,may,104,3,-1,0,unknown,0
750795,49,management,married,tertiary,no,0,no,no,cellular,29,aug,72,5,-1,0,unknown,0
750808,38,technician,married,tertiary,no,1333,yes,no,cellular,6,may,65,4,355,1,other,0
750809,63,retired,married,secondary,no,2557,no,no,telephone,24,apr,390,3,185,1,success,1
750810,56,blue-collar,married,secondary,no,878,yes,no,unknown,15,may,108,2,-1,0,unknown,0
750814,34,retired,married,secondary,no,568,no,no,cellular,15,jun,860,1,-1,0,unknown,1
750815,49,services,divorced,secondary,no,-97,yes,no,unknown,7,may,123,4,-1,0,unknown,0
750820,45,blue-collar,married,secondary,no,4343,yes,yes,unknown,4,jun,123,1,-1,0,unknown,0
750838,60,housemaid,married,secondary,no,1467,no,no,unknown,27,jun,77,2,-1,0,unknown,0
750842,43,management,divorced,tertiary,no,0,yes,no,unknown,16,may,84,4,-1,0,unknown,0
750852,52,blue-collar,married,primary,no,602,yes,yes,unknown,16,may,145,1,-1,0,unknown,0
750864,38,services,married,secondary,no,0,no,no,cellular,31,jul,78,2,-1,0,unknown,0
750871,52,blue-collar,married,primary,yes,-11,yes,no,unknown,9,may,134,4,-1,0,unknown,0
750891,34,services,single,secondary,no,603,yes,no,unknown,18,jun,70,12,-1,0,unknown,0
750900,47,technician,married,tertiary,no,51,no,no,cellular,6,aug,1488,4,-1,0,unknown,1
750902,41,blue-collar,married,primary,no,462,yes,no,unknown,15,may,48,1,-1,0,unknown,0
750908,35,admin.,married,secondary,no,1390,yes,no,cellular,25,jul,80,4,-1,0,unknown,0
750917,43,technician,married,secondary,no,33,yes,no,unknown,27,may,82,2,-1,0,unknown,0
750928,31,technician,married,secondary,yes,-172,no,yes,cellular,18,nov,89,2,-1,0,unknown,0
750929,24,blue-collar,single,secondary,no,944,yes,no,cellular,18,feb,472,2,92,1,success,1
750945,56,retired,married,secondary,no,1046,no,no,cellular,27,aug,73,7,-1,0,unknown,0
750953,48,management,married,unknown,no,602,no,no,unknown,17,jun,87,2,-1,0,unknown,0
750956,42,management,married,tertiary,no,-70,yes,no,unknown,2,jun,95,1,-1,0,unknown,0
750977,37,technician,married,secondary,no,782,yes,no,unknown,5,may,126,1,-1,0,unknown,0
750980,52,technician,married,secondary,no,-3,no,yes,cellular,29,aug,102,2,-1,0,unknown,0
750985,42,blue-collar,married,secondary,no,1261,yes,no,unknown,8,may,74,2,-1,0,unknown,0
750986,39,blue-collar,married,primary,no,765,yes,no,unknown,11,jun,73,2,-1,0,unknown,0
750991,53,blue-collar,divorced,primary,no,4401,no,no,cellular,24,sep,251,4,92,4,success,1
751001,68,retired,single,tertiary,no,1443,no,no,cellular,18,feb,225,1,-1,0,unknown,1
751003,50,technician,married,tertiary,no,46,no,no,cellular,25,aug,103,6,-1,0,unknown,0
751008,55,blue-collar,married,primary,no,-317,yes,no,unknown,28,may,151,3,-1,0,unknown,0
751011,28,admin.,single,secondary,no,1534,no,no,cellular,7,aug,215,1,99,1,other,1
751015,35,blue-collar,married,primary,no,18,yes,no,unknown,19,may,174,1,-1,0,unknown,0
751017,43,management,married,secondary,no,-11,yes,no,unknown,8,may,201,1,-1,0,unknown,0
751021,55,retired,married,secondary,no,7,no,yes,cellular,25,jul,82,6,-1,0,unknown,0
751027,57,admin.,married,secondary,no,552,no,no,cellular,31,jul,72,3,-1,0,unknown,0
751035,33,technician,married,secondary,no,18,no,no,cellular,26,aug,92,4,-1,0,unknown,0
751045,38,blue-collar,married,primary,no,-6,yes,no,unknown,6,may,189,1,-1,0,unknown,0
751047,42,admin.,married,secondary,no,-12,yes,no,unknown,7,may,82,3,-1,0,unknown,0
751048,82,housemaid,married,tertiary,no,623,no,no,cellular,29,apr,344,1,181,6,success,1
751050,42,technician,married,secondary,no,0,no,no,cellular,22,aug,121,3,-1,0,unknown,0
751054,59,retired,married,secondary,no,33,yes,yes,unknown,3,jun,113,2,-1,0,unknown,0
751057,54,retired,married,secondary,no,-140,no,no,unknown,23,may,89,1,-1,0,unknown,0
751059,56,retired,married,secondary,no,0,yes,yes,unknown,13,may,122,3,-1,0,unknown,0
751061,21,student,single,secondary,no,536,no,no,cellular,4,may,1163,3,-1,0,unknown,1
751067,54,entrepreneur,married,tertiary,yes,-1445,yes,no,cellular,11,jul,6,1,-1,0,unknown,0
751069,30,admin.,single,secondary,no,17,yes,no,unknown,6,may,125,1,-1,0,unknown,0
751076,51,blue-collar,married,primary,no,0,no,no,cellular,18,nov,92,2,-1,0,unknown,0
751081,35,technician,single,secondary,no,469,yes,no,unknown,8,may,88,2,-1,0,unknown,0
751093,48,technician,married,secondary,no,0,no,no,cellular,28,aug,88,2,-1,0,unknown,0
751096,58,blue-collar,married,secondary,no,742,no,yes,cellular,28,aug,82,6,-1,0,unknown,0
751109,36,technician,single,secondary,no,12264,no,no,cellular,30,apr,210,1,-1,0,unknown,1
751112,42,blue-collar,married,secondary,no,679,yes,no,unknown,30,may,121,2,-1,0,unknown,0
751121,38,services,divorced,primary,yes,-54,no,no,unknown,9,jun,103,2,-1,0,unknown,0
751132,44,technician,single,secondary,yes,-143,yes,no,unknown,19,may,84,35,-1,0,unknown,0
751134,36,blue-collar,married,secondary,no,50,no,no,unknown,9,jun,124,1,-1,0,unknown,0
751135,22,student,single,secondary,no,536,no,no,cellular,1,jun,267,2,-1,0,unknown,1
751137,41,blue-collar,married,secondary,no,614,yes,no,unknown,16,may,76,3,-1,0,unknown,0
751143,36,services,married,secondary,no,0,yes,no,cellular,14,jul,76,12,-1,0,unknown,0
751150,48,services,divorced,secondary,no,-305,no,no,cellular,27,aug,73,8,-1,0,unknown,0
751151,47,blue-collar,married,primary,no,0,yes,no,unknown,23,may,72,4,-1,0,unknown,0
751160,54,management,married,primary,no,476,no,no,unknown,28,may,123,3,-1,0,unknown,0
751162,46,blue-collar,married,secondary,no,33,yes,no,cellular,11,may,6,6,-1,0,unknown,0
751163,46,technician,married,tertiary,no,20,yes,no,unknown,8,may,134,1,-1,0,unknown,0
751168,60,retired,divorced,secondary,no,-22,yes,no,unknown,28,may,1422,2,-1,0,unknown,1
751174,54,blue-collar,divorced,secondary,no,-63,yes,no,unknown,13,may,160,1,-1,0,unknown,0
751177,70,retired,married,primary,no,2795,no,no,cellular,8,mar,261,1,-1,0,unknown,1
751182,43,blue-collar,married,secondary,no,-97,yes,yes,unknown,2,jun,120,1,-1,0,unknown,0
751183,32,technician,married,secondary,no,0,yes,no,cellular,16,nov,213,3,187,3,success,1
751185,43,technician,married,secondary,no,8,no,no,unknown,5,may,127,2,-1,0,unknown,0
751195,42,self-employed,married,tertiary,no,0,no,no,cellular,27,aug,64,8,-1,0,unknown,0
751196,52,self-employed,married,primary,yes,61,yes,no,cellular,18,jul,123,1,-1,0,unknown,0
751197,59,technician,married,primary,no,0,yes,no,unknown,20,may,135,1,-1,0,unknown,0
751209,53,unemployed,married,primary,no,-7,yes,no,unknown,9,may,152,3,-1,0,unknown,0
751215,38,services,married,secondary,no,-205,yes,yes,unknown,5,may,105,1,-1,0,unknown,0
751226,55,blue-collar,married,primary,no,657,yes,no,unknown,16,jun,122,6,-1,0,unknown,0
751229,58,entrepreneur,married,secondary,no,0,no,no,unknown,18,jun,78,5,-1,0,unknown,0
751235,32,services,married,secondary,no,49,yes,no,unknown,29,may,123,3,-1,0,unknown,0
751237,35,entrepreneur,married,unknown,no,1,no,no,unknown,9,jun,81,1,-1,0,unknown,0
751238,35,housemaid,married,primary,no,-184,yes,no,cellular,13,may,8,1,343,1,failure,0
751250,51,technician,married,secondary,no,0,yes,no,cellular,18,nov,84,1,-1,0,unknown,0
751251,47,technician,married,secondary,no,-4,no,no,cellular,8,aug,91,2,-1,0,unknown,0
751253,37,management,divorced,secondary,yes,-818,yes,yes,unknown,27,may,145,1,-1,0,unknown,0
751254,45,technician,married,tertiary,no,3,no,no,cellular,25,aug,64,4,-1,0,unknown,0
751263,28,blue-collar,married,secondary,no,467,yes,no,unknown,20,jun,123,1,-1,0,unknown,0
751269,47,admin.,married,secondary,no,665,no,no,cellular,18,feb,196,1,-1,0,unknown,1
751277,34,technician,single,secondary,no,23,no,no,cellular,19,aug,83,2,-1,0,unknown,0
751279,49,admin.,married,secondary,no,-1415,yes,yes,unknown,23,may,129,3,-1,0,unknown,0
751286,28,technician,married,tertiary,no,3723,no,no,cellular,10,nov,1206,1,-1,0,unknown,1
751288,21,housemaid,single,primary,no,4290,no,no,cellular,20,oct,252,1,183,3,failure,1
751292,47,management,married,tertiary,no,0,no,no,cellular,21,aug,73,3,-1,0,unknown,0
751316,41,technician,married,secondary,no,1149,yes,no,unknown,15,may,78,1,-1,0,unknown,0
751338,33,blue-collar,married,secondary,no,1820,yes,yes,unknown,28,may,121,1,-1,0,unknown,0
751344,47,management,married,tertiary,no,1808,no,no,cellular,22,apr,344,1,-1,0,unknown,1
751348,51,management,married,tertiary,no,0,no,no,cellular,29,aug,62,2,-1,0,unknown,0
751352,53,blue-collar,married,primary,no,-175,yes,no,cellular,29,jul,85,2,-1,0,unknown,0
751355,43,blue-collar,married,primary,no,2201,yes,no,cellular,18,nov,71,3,168,2,failure,0
751362,34,admin.,married,secondary,no,46,no,no,cellular,22,aug,90,2,-1,0,unknown,0
751364,38,blue-collar,married,primary,no,446,yes,no,unknown,19,may,83,1,-1,0,unknown,0
751371,36,self-employed,married,tertiary,no,-299,yes,yes,cellular,13,may,15,6,350,2,failure,0
751381,36,blue-collar,married,primary,no,23,yes,no,unknown,20,may,114,1,-1,0,unknown,0
751384,34,technician,single,secondary,no,516,no,no,cellular,28,aug,59,11,-1,0,unknown,0
751386,31,management,single,tertiary,no,2646,no,no,cellular,13,jul,664,1,182,2,success,1
751397,34,management,married,tertiary,no,792,no,no,cellular,25,aug,65,9,-1,0,unknown,0
751399,61,retired,married,secondary,no,5267,no,no,cellular,17,feb,233,1,-1,0,unknown,1
751403,40,technician,married,secondary,no,-315,yes,yes,cellular,14,jul,121,3,-1,0,unknown,0
751411,57,retired,married,secondary,no,479,no,no,cellular,28,aug,76,6,-1,0,unknown,0
751412,54,technician,married,secondary,no,0,no,no,cellular,8,aug,81,4,-1,0,unknown,0
751415,50,technician,married,tertiary,no,-3,no,no,cellular,27,aug,79,11,-1,0,unknown,0
751447,55,technician,married,secondary,no,0,yes,no,unknown,26,may,122,2,-1,0,unknown,0
751453,32,services,single,secondary,no,-1,yes,no,cellular,24,jul,71,1,-1,0,unknown,0
751462,39,blue-collar,single,secondary,no,2880,yes,no,unknown,30,may,124,3,-1,0,unknown,0
751485,34,technician,married,secondary,no,482,no,no,cellular,28,aug,86,14,-1,0,unknown,0
751486,56,blue-collar,married,primary,no,592,yes,yes,cellular,18,jul,98,1,-1,0,unknown,0
751497,46,blue-collar,married,primary,no,-335,yes,no,unknown,2,jun,126,2,-1,0,unknown,0
751501,32,blue-collar,married,secondary,no,827,yes,no,unknown,9,may,76,2,-1,0,unknown,0
751506,45,blue-collar,married,primary,no,-175,yes,no,unknown,7,may,173,2,-1,0,unknown,0
751514,28,services,single,unknown,no,1231,yes,no,cellular,18,may,74,4,349,4,failure,0
751518,37,services,married,secondary,no,493,yes,no,unknown,27,may,76,2,-1,0,unknown,0
751521,24,student,single,secondary,no,922,no,no,cellular,5,aug,1139,1,-1,0,unknown,1
751528,51,blue-collar,married,secondary,no,-37,yes,no,unknown,27,may,121,1,-1,0,unknown,0
751532,30,blue-collar,married,secondary,no,24,yes,no,unknown,8,may,123,2,-1,0,unknown,0
751533,58,blue-collar,married,unknown,no,2428,no,no,cellular,26,aug,78,3,-1,0,unknown,0
751537,33,services,married,secondary,no,439,yes,yes,unknown,3,jun,92,4,-1,0,unknown,0
751538,57,blue-collar,divorced,primary,no,0,no,no,unknown,17,jun,67,4,-1,0,unknown,0
751570,33,admin.,divorced,secondary,yes,20,yes,no,unknown,13,may,104,3,-1,0,unknown,0
751579,53,technician,divorced,secondary,yes,-1034,yes,no,cellular,8,may,76,1,298,1,failure,0
751580,48,blue-collar,married,primary,no,7,no,no,unknown,14,may,112,4,-1,0,unknown,0
751581,48,management,married,tertiary,no,596,yes,no,cellular,29,jul,121,5,-1,0,unknown,0
751582,29,student,single,unknown,no,1778,no,no,cellular,4,sep,261,2,189,1,success,1
751588,28,admin.,married,secondary,no,726,no,no,cellular,30,apr,350,1,87,1,success,1
751605,27,technician,single,tertiary,no,572,yes,no,cellular,22,may,779,3,94,2,success,1
751606,61,management,married,secondary,no,4438,yes,no,cellular,25,apr,169,1,182,1,success,1
751608,53,admin.,married,secondary,no,0,no,no,cellular,20,aug,76,2,-1,0,unknown,0
751618,55,technician,married,secondary,no,5,no,no,cellular,30,jul,56,3,-1,0,unknown,0
751619,39,technician,married,secondary,no,-832,yes,no,cellular,6,aug,79,5,-1,0,unknown,0
751620,29,management,married,tertiary,no,0,yes,no,cellular,21,jul,72,4,-1,0,unknown,0
751627,40,blue-collar,divorced,primary,no,791,yes,no,unknown,7,may,112,1,-1,0,unknown,0
751633,45,self-employed,divorced,secondary,no,-103,yes,no,unknown,5,may,175,1,-1,0,unknown,0
751645,40,technician,married,secondary,no,718,yes,yes,cellular,28,jul,72,3,-1,0,unknown,0
751647,57,blue-collar,married,primary,no,1403,no,no,unknown,16,jun,74,2,-1,0,unknown,0
751650,55,blue-collar,married,secondary,no,1162,yes,no,unknown,15,may,103,1,-1,0,unknown,0
751655,32,management,married,tertiary,no,0,no,no,cellular,19,aug,79,4,-1,0,unknown,0
751656,43,technician,married,secondary,no,-2,no,no,cellular,21,aug,90,9,-1,0,unknown,0
751658,42,blue-collar,married,secondary,no,137,yes,no,unknown,7,may,136,1,-1,0,unknown,0
751665,35,technician,single,secondary,no,-3,no,no,cellular,29,aug,91,5,-1,0,unknown,0
751666,41,admin.,married,secondary,no,524,yes,no,unknown,16,may,123,1,-1,0,unknown,0
751672,38,management,married,primary,no,0,yes,no,cellular,21,nov,67,1,-1,0,unknown,0
751676,53,blue-collar,married,secondary,no,828,yes,yes,unknown,15,may,76,2,-1,0,unknown,0
751686,51,services,married,secondary,no,-56,no,yes,cellular,19,nov,50,3,-1,0,unknown,0
751690,42,blue-collar,single,primary,no,2081,yes,no,unknown,13,may,51,1,-1,0,unknown,0
751697,53,entrepreneur,married,tertiary,no,0,yes,no,cellular,9,jul,85,1,-1,0,unknown,0
751710,29,blue-collar,married,secondary,yes,-25,yes,no,unknown,29,may,73,3,-1,0,unknown,0
751711,56,retired,married,secondary,no,717,no,yes,cellular,25,jul,73,4,-1,0,unknown,0
751723,37,technician,married,secondary,no,0,no,no,cellular,25,aug,92,4,-1,0,unknown,0
751727,54,management,married,secondary,no,-127,yes,no,cellular,6,may,123,1,-1,0,unknown,0
751733,32,admin.,married,tertiary,no,1740,no,no,cellular,28,sep,1036,1,92,7,success,1
751734,43,blue-collar,married,primary,no,553,yes,yes,unknown,30,may,72,2,-1,0,unknown,0
751736,36,services,married,secondary,no,469,yes,no,cellular,12,aug,250,2,181,5,success,1
751748,54,admin.,divorced,secondary,yes,-1415,yes,no,unknown,26,may,123,2,-1,0,unknown,0
751751,52,management,divorced,tertiary,no,2104,no,no,cellular,18,feb,210,1,-1,0,unknown,1
